"","logFC","logCPM","PValue","FDR"
"ENSG00000105618",0.602822629487495,5.72213976915608,1.92153776510419e-05,0.000113276239637225
"ENSG00000178187",-1.41606781911431,-1.59805107216734,1.92818619366709e-05,0.00011360650691602
"ENSG00000246350",2.71382830447114,-3.58988948042983,1.92841113937624e-05,0.00011360650691602
"ENSG00000124787",0.745333322572066,2.7825546898799,1.92871262713066e-05,0.00011360650691602
"ENSG00000108671",0.738563164006114,6.67674299696472,1.92877404687537e-05,0.00011360650691602
"ENSG00000108465",0.714595515288735,6.57104136967145,1.93098639738049e-05,0.000113712734851458
"ENSG00000122547",-0.982771220207539,2.75293692946038,1.93442077636295e-05,0.000113890865903859
"ENSG00000226329",-1.33364807385978,-0.498826387088711,1.93800544495478e-05,0.0001140777681281
"ENSG00000188385",-1.64270175407893,-0.559399485692557,1.94012907611833e-05,0.000114178607689545
"ENSG00000151006",1.05485301228069,0.245643043020963,1.94179599599837e-05,0.000114252532339121
"ENSG00000160113",0.870756212776378,6.04081220505764,1.94393076765141e-05,0.000114353788299519
"ENSG00000272821",1.20474382419754,2.21768192677492,1.94433921140627e-05,0.000114353788299519
"ENSG00000178776",3.61094040050342,0.205042365637089,1.96861694118272e-05,0.000115732705527616
"ENSG00000205485",0.665623740450622,0.873680692660759,1.98769699645383e-05,0.000116829705330453
"ENSG00000066382",-1.56375433793251,2.09810680089053,1.98905408935294e-05,0.000116863594514658
"ENSG00000123636",-0.668130224078528,4.32061507392,1.98929495229731e-05,0.000116863594514658
"ENSG00000278107",-0.932668183769051,-1.61466697712553,1.98953410285445e-05,0.000116863594514658
"ENSG00000267534",-0.731931907424602,3.28630236960168,1.99402293648633e-05,0.000117102533641247
"ENSG00000106636",0.643117547119392,6.39537945618066,1.99830219769449e-05,0.000117329066971663
"ENSG00000248641",1.51273485451415,-3.04956452303785,2.00111605810676e-05,0.000117469482744034
"ENSG00000103150",-0.54788563937249,3.26655974479108,2.00221301700369e-05,0.000117509074998784
"ENSG00000227477",1.49535967018405,-1.69964877613903,2.00335148106975e-05,0.000117551085955682
"ENSG00000166986",0.528227533445168,6.27115615919195,2.00401495588929e-05,0.000117565214022672
"ENSG00000100429",0.972937688799008,3.29520262138305,2.00604235963938e-05,0.000117659333927984
"ENSG00000179115",0.537258700640568,5.82414563179723,2.01023006870734e-05,0.000117869983619623
"ENSG00000262358",1.87493508541089,-3.72688430360908,2.0138798681534e-05,0.000118044343040992
"ENSG00000258910",5.32839707127677,-2.43364880422437,2.01800325062653e-05,0.000118261113379005
"ENSG00000248870",3.34982028866217,-3.46710336757917,2.0269725214105e-05,0.000118761716321867
"ENSG00000197768",2.04180307264093,-2.24665652985617,2.02773512023161e-05,0.000118781375103205
"ENSG00000224067",1.7052986815256,-2.18293226781106,2.03127203289796e-05,0.000118963506108635
"ENSG00000241484",1.35611346699059,0.63802215520063,2.03820299639526e-05,0.00011933389314314
"ENSG00000275180",1.05552690689879,-0.499728562853165,2.03873438492106e-05,0.00011933389314314
"ENSG00000170448",0.713022178567373,3.32338294451346,2.03888347253515e-05,0.00011933389314314
"ENSG00000000971",-1.20230228875385,5.74541450037096,2.0411022332579e-05,0.000119438620689253
"ENSG00000228074",-1.89613604663186,-3.96223817293103,2.04473509328944e-05,0.000119626035232771
"ENSG00000109819",-1.99012001239452,0.750288852213388,2.04707141496178e-05,0.000119737533678932
"ENSG00000063245",0.609755917533638,6.84486200671048,2.04781768731175e-05,0.000119755999447438
"ENSG00000199572",4.10107406696375,-3.91362651670964,2.05749696460844e-05,0.000120296748111529
"ENSG00000081026",-0.757986156801401,3.09487806327224,2.06881363244457e-05,0.000120932983520767
"ENSG00000176490",-1.76219334566971,1.12033164923123,2.0723615591772e-05,0.000121114923398603
"ENSG00000204392",0.700151318517399,5.02776006942767,2.07702515148271e-05,0.000121361975920564
"ENSG00000239893",5.20353137303914,-0.502516634393806,2.08956005243273e-05,0.000122068753913698
"ENSG00000256463",-2.63967613749866,-2.12686189437146,2.09127066092915e-05,0.000122143030013487
"ENSG00000271943",-1.26192579362528,-3.32791970761403,2.09676378812622e-05,0.00012241245012417
"ENSG00000115365",-0.616452555825359,4.97077860725913,2.10650560738577e-05,0.000122955383962687
"ENSG00000171403",3.27921753363403,0.0642232209097378,2.11057309195795e-05,0.000123166952175045
"ENSG00000117016",-1.28484662923121,1.78157702165387,2.112213567131e-05,0.000123236828073452
"ENSG00000279744",1.52472283028423,-1.43946906510774,2.12496407309266e-05,0.000123954752023755
"ENSG00000227492",1.02752249191364,-2.74017144387788,2.13006607641794e-05,0.000124226311141565
"ENSG00000100726",0.611926122755449,5.28499343081082,2.13180385415849e-05,0.000124301594540272
"ENSG00000169242",1.25220073228283,6.22989087261252,2.13424535455334e-05,0.000124417870564226
"ENSG00000037241",0.663415681262834,3.5514524876516,2.1400526591403e-05,0.000124730269506851
"ENSG00000245571",0.754204586154351,1.75754659380132,2.14900584139007e-05,0.000125225852643163
"ENSG00000220201",1.25363198724832,0.305172388292501,2.14977905278526e-05,0.000125244668611471
"ENSG00000204136",-1.34522615370923,1.69335942019505,2.15174153507538e-05,0.000125296446509667
"ENSG00000166961",5.82719536866599,0.886132537667476,2.15198698477379e-05,0.000125296446509667
"ENSG00000271757",2.13475336064093,-3.81792015960652,2.15201928945702e-05,0.000125296446509667
"ENSG00000125485",0.571845039299893,3.50950811758421,2.1528190307418e-05,0.000125316776270451
"ENSG00000169905",0.601640678463492,5.96776034953461,2.16671234836489e-05,0.000126064560217355
"ENSG00000260955",1.65687641723584,-3.08521994845383,2.16702499694091e-05,0.000126064560217355
"ENSG00000219201",-1.03108770433288,-2.34222668517864,2.1688430657872e-05,0.00012614394016884
"ENSG00000116353",0.538522863533015,3.99875827440877,2.17057085244793e-05,0.000126218037046068
"ENSG00000119686",1.20711977531318,2.31367574879231,2.17588931310196e-05,0.000126500855905738
