ENSG00000223571	DHRSX-IT1
ENSG00000223586	LINC01312
ENSG00000223598	RP1-292B18.4
ENSG00000223608	DSCR4-IT1
ENSG00000223631	LINC01120
ENSG00000223634	AC012506.3
ENSG00000223642	AC008277.1
ENSG00000223643	RP11-108M9.1
ENSG00000223646	AC002463.3
ENSG00000223653	RP11-131L23.1
ENSG00000223660	AC012314.20
ENSG00000223665	CTB-111F10.1
ENSG00000223675	RP11-86H7.6
ENSG00000223697	AF230666.2
ENSG00000223704	LINC01422
ENSG00000223711	AC091633.3
ENSG00000223714	RP5-1172N10.2
ENSG00000223715	LINC01208
ENSG00000223725	AC007879.5
ENSG00000223726	CTA-929C8.7
ENSG00000223727	AC026188.1
ENSG00000223732	RP11-321C24.1
ENSG00000223749	MIR503HG
ENSG00000223751	AC116609.2
ENSG00000223764	RP11-54O7.3
ENSG00000223768	LINC00205
ENSG00000223770	MIR1255B1
ENSG00000223774	RP11-307B6.3
ENSG00000223776	LGALS8-AS1
ENSG00000223791	UBE2E1-AS1
ENSG00000223797	ENTPD3-AS1
ENSG00000223799	IL10RB-AS1
ENSG00000223806	LINC00114
ENSG00000223812	LINCR-0002
ENSG00000223814	RP11-543D5.2
ENSG00000223823	LINC01342
ENSG00000223829	AC004870.4
ENSG00000223834	RP11-472N13.2
ENSG00000223838	AC007091.1
ENSG00000223842	RP11-135J2.3
ENSG00000223843	EFCAB6-AS1
ENSG00000223855	FLJ44511
ENSG00000223859	AC007403.3
ENSG00000223891	OSER1-AS1
ENSG00000223910	ZNF32-AS3
ENSG00000223911	AC009480.3
ENSG00000223914	AC079630.2
ENSG00000223923	AC010136.2
ENSG00000223930	RP11-33A14.1
ENSG00000223935	AC008074.3
ENSG00000223944	RP5-1180C18.1
ENSG00000223947	AC016738.4
ENSG00000223949	ROR1-AS1
ENSG00000223960	AC009948.5
ENSG00000223966	RP11-141J10.2
ENSG00000223975	AP001048.4
ENSG00000223979	SMCR2
ENSG00000223991	AC104809.2
ENSG00000223993	RP11-475D12.1
ENSG00000224008	LINC01441
ENSG00000224017	LINC01449
ENSG00000224018	AP000470.2
ENSG00000224020	MIR181A2HG
ENSG00000224023	FLJ37035
ENSG00000224028	AC073928.2
ENSG00000224031	TCEAL3-AS1
ENSG00000224032	EPB41L4A-AS1
ENSG00000224038	RP11-347J14.8
ENSG00000224048	AC104777.4
ENSG00000224049	RP11-30O15.1
ENSG00000224057	EGFR-AS1
ENSG00000224063	AC007319.1
ENSG00000224074	LINC00691
ENSG00000224086	LL22NC03-86G7.1
ENSG00000224090	AC097468.4
ENSG00000224093	RP5-1033H22.2
ENSG00000224100	AP001630.5
ENSG00000224101	ELMO1-AS1
ENSG00000224116	INHBA-AS1
ENSG00000224122	POU6F2-AS1
ENSG00000224138	AC000123.4
ENSG00000224141	AL109763.2
ENSG00000224149	RP11-510C10.3
ENSG00000224152	AC009506.1
ENSG00000224153	RP11-433C9.2
ENSG00000224157	HCG14
ENSG00000224165	DNAJC27-AS1
ENSG00000224173	AC007422.1
ENSG00000224174	RP4-798A10.4
ENSG00000224177	LINC00570
ENSG00000224184	AC096559.1
ENSG00000224187	RP11-132N15.3
ENSG00000224189	HAGLR
ENSG00000224204	PHEX-AS1
ENSG00000224209	LINC00466
ENSG00000224216	RP13-228J13.1
ENSG00000224223	VSTM2A-OT1
ENSG00000224228	RP1-15D23.2
ENSG00000224231	AC069394.1
ENSG00000224238	WARS2-IT1
ENSG00000224239	AC090044.2
ENSG00000224247	AJ009632.3
ENSG00000224257	VWC2L-IT1
ENSG00000224259	LINC01133
ENSG00000224260	RP1-272L16.1
ENSG00000224271	RP11-191L9.4
ENSG00000224272	AC114730.3
ENSG00000224277	AP000345.2
ENSG00000224281	SLC25A5-AS1
ENSG00000224286	LINC01142
ENSG00000224294	RP3-326I13.1
ENSG00000224301	RP11-144G16.1
ENSG00000224308	LINC01527
ENSG00000224310	AC012317.1
ENSG00000224311	RP11-40H20.4
ENSG00000224318	CHL1-AS2
ENSG00000224322	AC004009.3
ENSG00000224328	MDC1-AS1
ENSG00000224330	AC005019.3
ENSG00000224347	SCEL-AS1
ENSG00000224356	RP11-151A6.4
ENSG00000224358	RP11-466F5.8
ENSG00000224384	RP3-417O22.3
ENSG00000224388	BACE2-IT1
ENSG00000224391	LINC01280
ENSG00000224397	LINC01272
ENSG00000224405	LINC00572
ENSG00000224406	RP11-48F14.1
ENSG00000224413	AP001476.2
ENSG00000224417	RP11-503C24.6
ENSG00000224418	STK24-AS1
ENSG00000224424	PRKAR2A-AS1
ENSG00000224467	AC009313.1
ENSG00000224481	RP11-495P10.3
ENSG00000224490	TTC21B-AS1
ENSG00000224504	RP11-475D12.2
ENSG00000224505	AC002117.1
ENSG00000224506	RP1-293L8.2
ENSG00000224509	AC010884.1
ENSG00000224511	LINC00365
ENSG00000224515	RP11-5K23.5
ENSG00000224525	RP11-561I11.3
ENSG00000224533	TMLHE-AS1
ENSG00000224559	LINC01087
ENSG00000224568	AC096669.3
ENSG00000224574	COL18A1-AS2
ENSG00000224577	LINC01117
ENSG00000224582	LINC01015
ENSG00000224583	RP11-554D15.4
ENSG00000224592	RP5-884C9.2
ENSG00000224595	AC073626.2
ENSG00000224596	ZMIZ1-AS1
ENSG00000224609	HSD52
ENSG00000224610	RP11-265P11.1
ENSG00000224612	AC011901.2
ENSG00000224614	TNK2-AS1
ENSG00000224635	RP4-564F22.5
ENSG00000224644	RP11-16L21.7
ENSG00000224652	LINC00885
ENSG00000224660	SH3BP5-AS1
ENSG00000224675	AC009227.2
ENSG00000224687	RASAL2-AS1
ENSG00000224691	GS1-174L6.4
ENSG00000224698	RP11-131J3.1
ENSG00000224699	LAMTOR5-AS1
ENSG00000224711	RP5-988G17.1
ENSG00000224713	AC025165.8
ENSG00000224714	RP11-179K3.2
ENSG00000224715	CITF22-49D8.1
ENSG00000224717	RP11-576D8.4
ENSG00000224718	RP11-222A5.1
ENSG00000224721	AC007182.6
ENSG00000224729	PCOLCE-AS1
ENSG00000224733	RP1-86D1.5
ENSG00000224743	TEX26-AS1
ENSG00000224745	RP11-380G5.2
ENSG00000224750	RP11-94M14.2
ENSG00000224765	RP1-137H15.2
ENSG00000224771	ATP2B2-IT2
ENSG00000224794	RP3-333H23.8
ENSG00000224799	RP11-445O16.3
ENSG00000224810	RP11-538D16.2
ENSG00000224812	TMEM72-AS1
ENSG00000224817	RP11-190J1.3
ENSG00000224819	AC093843.1
ENSG00000224821	COL4A2-AS2
ENSG00000224822	THRB-IT1
ENSG00000224832	AP000469.2
ENSG00000224842	RP11-123K19.1
ENSG00000224843	LINC00240
ENSG00000224844	AC107079.1
ENSG00000224853	LINC00393
ENSG00000224857	RP11-344P13.1
ENSG00000224863	LINC01398
ENSG00000224865	AC009518.4
ENSG00000224875	AC083949.1
ENSG00000224888	RP5-1142A6.2
ENSG00000224897	POT1-AS1
ENSG00000224899	RP11-3B12.5
ENSG00000224901	RP11-448G4.4
ENSG00000224905	AP001347.6
ENSG00000224914	LINC00863
ENSG00000224924	LINC00320
ENSG00000224932	AC107399.2
ENSG00000224933	LINC01034
ENSG00000224934	RP11-441O15.3
ENSG00000224939	LINC00184
ENSG00000224950	RP5-1086K13.1
ENSG00000224957	LINC01266
ENSG00000224973	LARGE-AS1
ENSG00000224989	FAM41AY1
ENSG00000224995	LINC01526
ENSG00000225012	RP13-348B13.2
ENSG00000225028	RP11-330M19.1
ENSG00000225032	RP11-228B15.4
ENSG00000225057	AC096574.4
ENSG00000225063	RP11-383G10.5
ENSG00000225064	AC007879.6
ENSG00000225077	LINC00337
ENSG00000225083	GRTP1-AS1
ENSG00000225084	AL450226.2
ENSG00000225085	RP11-15B24.1
ENSG00000225092	RP11-405O10.2
ENSG00000225106	RP11-429E11.2
ENSG00000225113	RP5-1160K1.3
ENSG00000225127	LINC00237
ENSG00000225128	LINC00972
ENSG00000225146	AC073957.15
ENSG00000225148	RP5-899B16.2
ENSG00000225152	RP11-338O1.2
ENSG00000225156	AC012354.6
ENSG00000225172	RP11-16L9.2
ENSG00000225173	XXbac-BPG308K3.5
ENSG00000225174	OSTM1-AS1
ENSG00000225177	FLJ46906
ENSG00000225179	LINC00457
ENSG00000225194	LINC00092
ENSG00000225203	RP11-182M20.2
ENSG00000225205	AC093818.1
ENSG00000225206	MIR137HG
ENSG00000225208	RP11-107I14.2
ENSG00000225226	AC007250.4
ENSG00000225230	AC008937.3
ENSG00000225231	AC091814.2
ENSG00000225243	RP1-127D3.4
ENSG00000225265	TAF1A-AS1
ENSG00000225269	LINC00705
ENSG00000225280	RP11-227D2.3
ENSG00000225300	RP11-1086F11.1
ENSG00000225313	RP11-415J8.3
ENSG00000225316	LINC00350
ENSG00000225325	RP11-479J7.1
ENSG00000225329	RP11-325F22.5
ENSG00000225331	AP001055.6
ENSG00000225335	XXbac-B476C20.9
ENSG00000225339	RP11-513I15.6
ENSG00000225342	AC079630.4
ENSG00000225359	RP11-540K16.2
ENSG00000225361	PPP1R26-AS1
ENSG00000225376	TMEM246-AS1
ENSG00000225377	NRSN2-AS1
ENSG00000225378	AC015977.6
ENSG00000225383	SFTA1P
ENSG00000225391	NHEG1
ENSG00000225393	RP11-218L14.4
ENSG00000225411	RP11-764K9.1
ENSG00000225420	AC104134.2
ENSG00000225421	AC019330.1
ENSG00000225431	AP001626.1
ENSG00000225434	LINC01504
ENSG00000225437	RP1-257A15.1
ENSG00000225439	BOLA3-AS1
ENSG00000225446	RP4-665J23.2
ENSG00000225457	RP11-736E3.1
ENSG00000225465	RFPL1S
ENSG00000225470	JPX
ENSG00000225472	RP11-120J1.1
ENSG00000225473	ATP13A4-AS1
ENSG00000225484	NUTM2B-AS1
ENSG00000225488	RP11-760D2.1
ENSG00000225489	RP11-390F4.3
ENSG00000225493	LINC01107
ENSG00000225497	KCNMA1-AS2
ENSG00000225498	AC002064.5
ENSG00000225519	RP11-236B18.2
ENSG00000225532	XX-C2158C6.3
ENSG00000225535	LINC01393
ENSG00000225539	AC018799.1
ENSG00000225542	ZNF385D-AS1
ENSG00000225546	RP11-328J2.1
ENSG00000225548	AC098973.2
ENSG00000225552	NAALADL2-AS1
ENSG00000225564	LINC01492
ENSG00000225570	AC013733.4
ENSG00000225572	DOCK4-AS1
ENSG00000225579	EDNRB-AS1
ENSG00000225588	AC096669.1
ENSG00000225595	XXbac-BPG308K3.6
ENSG00000225606	AC005281.2
ENSG00000225611	RP11-70C1.1
ENSG00000225613	LINCMD1
ENSG00000225619	MYT1L-AS1
ENSG00000225626	C9orf135-AS1
ENSG00000225632	RP5-997D24.3
ENSG00000225637	AP001046.6
ENSG00000225640	RP5-1022P6.4
ENSG00000225649	AC064875.2
ENSG00000225652	KCNMA1-AS3
ENSG00000225657	RP5-843L14.1
ENSG00000225670	CADM3-AS1
ENSG00000225680	AL163953.2
ENSG00000225683	RP1-301L19.1
ENSG00000225684	FAM225B
ENSG00000225706	PTPRD-AS1
ENSG00000225718	RP11-3P22.2
ENSG00000225725	FAM66E
ENSG00000225731	AP001627.1
ENSG00000225733	FGD5-AS1
ENSG00000225738	NRG3-AS1
ENSG00000225742	RP11-513G11.4
ENSG00000225744	AC017002.4
ENSG00000225746	SNHG23
ENSG00000225759	LINC00489
ENSG00000225764	LEPREL1-AS1
ENSG00000225768	RP11-127O4.3
ENSG00000225778	PROSER2-AS1
ENSG00000225785	RP4-583K8.1
ENSG00000225790	RP11-2L8.1
ENSG00000225791	TRAM2-AS1
ENSG00000225792	AC004540.4
ENSG00000225793	RP1-234P15.4
ENSG00000225806	RP1-309F20.3
ENSG00000225807	RP11-44M6.1
ENSG00000225811	RP11-547I7.1
ENSG00000225815	AC092669.6
ENSG00000225818	AC118653.2
ENSG00000225822	UBXN7-AS1
ENSG00000225826	LINC00626
ENSG00000225833	GS1-594A7.3
ENSG00000225855	RUSC1-AS1
