"","pandri1","pandri2","pandri5","pandri7","pandri10"
"191","ENSG00000260233","ENSG00000253955","ENSG00000257621",NA,NA
"192","ENSG00000260254","ENSG00000254936","ENSG00000258441",NA,NA
"193","ENSG00000260274","ENSG00000255345","ENSG00000259943",NA,NA
"194","ENSG00000260328","ENSG00000255366","ENSG00000260966",NA,NA
"195","ENSG00000260401","ENSG00000255545","ENSG00000203709",NA,NA
"196","ENSG00000260565","ENSG00000255737","ENSG00000204054",NA,NA
"197","ENSG00000260597","ENSG00000256092","ENSG00000215424",NA,NA
"198","ENSG00000260633","ENSG00000257279","ENSG00000228794",NA,NA
"199","ENSG00000260664","ENSG00000258593","ENSG00000234456",NA,NA
"200","ENSG00000260677","ENSG00000259134","ENSG00000247556",NA,NA
"201","ENSG00000260742","ENSG00000259345","ENSG00000251562",NA,NA
"202","ENSG00000260763","ENSG00000259810","ENSG00000261654",NA,NA
"203","ENSG00000260777","ENSG00000260086",NA,NA,NA
"204","ENSG00000260910","ENSG00000260288",NA,NA,NA
"205","ENSG00000260941","ENSG00000260423",NA,NA,NA
"206","ENSG00000261167","ENSG00000260461",NA,NA,NA
"207","ENSG00000261229","ENSG00000260604",NA,NA,NA
"208","ENSG00000261298","ENSG00000260711",NA,NA,NA
"209","ENSG00000261335","ENSG00000260912",NA,NA,NA
"210","ENSG00000261451","ENSG00000260920",NA,NA,NA
"211","ENSG00000261474","ENSG00000260924",NA,NA,NA
"212","ENSG00000261487","ENSG00000261069",NA,NA,NA
"213","ENSG00000261534","ENSG00000261226",NA,NA,NA
"214","ENSG00000261542","ENSG00000261324",NA,NA,NA
"215","ENSG00000261578","ENSG00000261553",NA,NA,NA
"216","ENSG00000261604","ENSG00000261668",NA,NA,NA
"217","ENSG00000261762","ENSG00000261801",NA,NA,NA
"218","ENSG00000261786","ENSG00000265485",NA,NA,NA
"219","ENSG00000261971","ENSG00000267272",NA,NA,NA
"220","ENSG00000263126","ENSG00000270681",NA,NA,NA
"221","ENSG00000265962","ENSG00000277476",NA,NA,NA
"222","ENSG00000266805","ENSG00000180769",NA,NA,NA
"223","ENSG00000267009","ENSG00000182912",NA,NA,NA
"224","ENSG00000269044","ENSG00000183242",NA,NA,NA
"225","ENSG00000269386","ENSG00000196696",NA,NA,NA
"226","ENSG00000270562","ENSG00000223546",NA,NA,NA
"227","ENSG00000271554","ENSG00000224032",NA,NA,NA
"228","ENSG00000272498","ENSG00000224699",NA,NA,NA
"229","ENSG00000272502","ENSG00000225470",NA,NA,NA
"230","ENSG00000272692","ENSG00000226891",NA,NA,NA
"231","ENSG00000273026","ENSG00000227036",NA,NA,NA
"232","ENSG00000273156","ENSG00000227110",NA,NA,NA
"233","ENSG00000273247","ENSG00000229807",NA,NA,NA
"234","ENSG00000273374","ENSG00000230002",NA,NA,NA
"235","ENSG00000273486","ENSG00000230590",NA,NA,NA
"236","ENSG00000273691","ENSG00000233834",NA,NA,NA
"237","ENSG00000274918","ENSG00000233901",NA,NA,NA
"238","ENSG00000275764","ENSG00000235823",NA,NA,NA
"239","ENSG00000276115","ENSG00000236423",NA,NA,NA
"240","ENSG00000276517","ENSG00000236833",NA,NA,NA
