"","non-drivers"
"694","ENSG00000226029"
"695","ENSG00000226031"
"696","ENSG00000226037"
"697","ENSG00000226051"
"698","ENSG00000226053"
"699","ENSG00000226067"
"700","ENSG00000226070"
"701","ENSG00000226083"
"702","ENSG00000226087"
"703","ENSG00000226088"
"704","ENSG00000226089"
"705","ENSG00000226097"
"706","ENSG00000226101"
"707","ENSG00000226115"
"708","ENSG00000226122"
"709","ENSG00000226125"
"710","ENSG00000226133"
"711","ENSG00000226134"
"712","ENSG00000226149"
"713","ENSG00000226159"
"714","ENSG00000226169"
"715","ENSG00000226179"
"716","ENSG00000226203"
"717","ENSG00000226206"
"718","ENSG00000226208"
"719","ENSG00000226218"
"720","ENSG00000226235"
"721","ENSG00000226237"
"722","ENSG00000226239"
"723","ENSG00000226250"
"724","ENSG00000226251"
"725","ENSG00000226252"
"726","ENSG00000226266"
"727","ENSG00000226272"
"728","ENSG00000226296"
"729","ENSG00000226304"
"730","ENSG00000226312"
"731","ENSG00000226320"
"732","ENSG00000226328"
"733","ENSG00000226337"
"734","ENSG00000226349"
"735","ENSG00000226362"
"736","ENSG00000226363"
"737","ENSG00000226367"
"738","ENSG00000226383"
"739","ENSG00000226387"
"740","ENSG00000226390"
"741","ENSG00000226398"
"742","ENSG00000226412"
"743","ENSG00000226416"
"744","ENSG00000226423"
"745","ENSG00000226426"
"746","ENSG00000226431"
"747","ENSG00000226433"
"748","ENSG00000226440"
"749","ENSG00000226455"
"750","ENSG00000226471"
"751","ENSG00000226476"
"752","ENSG00000226482"
"753","ENSG00000226486"
"754","ENSG00000226488"
"755","ENSG00000226496"
"756","ENSG00000226497"
"757","ENSG00000226508"
"758","ENSG00000226516"
"759","ENSG00000226520"
"760","ENSG00000226527"
"761","ENSG00000226533"
"762","ENSG00000226548"
"763","ENSG00000226562"
"764","ENSG00000226566"
"765","ENSG00000226567"
"766","ENSG00000226578"
"767","ENSG00000226581"
"768","ENSG00000226587"
"769","ENSG00000226599"
"770","ENSG00000226604"
"771","ENSG00000226605"
"772","ENSG00000226620"
"773","ENSG00000226627"
"774","ENSG00000226629"
"775","ENSG00000226647"
"776","ENSG00000226648"
"777","ENSG00000226673"
"778","ENSG00000226676"
"779","ENSG00000226679"
"780","ENSG00000226680"
"781","ENSG00000226686"
"782","ENSG00000226696"
"783","ENSG00000226702"
"784","ENSG00000226706"
"785","ENSG00000226717"
"786","ENSG00000226725"
"787","ENSG00000226733"
"788","ENSG00000226739"
"789","ENSG00000226741"
"790","ENSG00000226747"
"791","ENSG00000226757"
"792","ENSG00000226758"
"793","ENSG00000226764"
"794","ENSG00000226770"
"795","ENSG00000226772"
"796","ENSG00000226779"
"797","ENSG00000226791"
"798","ENSG00000226800"
"799","ENSG00000226803"
"800","ENSG00000226806"
"801","ENSG00000226808"
"802","ENSG00000226812"
"803","ENSG00000226813"
"804","ENSG00000226828"
"805","ENSG00000226833"
"806","ENSG00000226846"
"807","ENSG00000226853"
"808","ENSG00000226854"
"809","ENSG00000226856"
"810","ENSG00000226859"
"811","ENSG00000226861"
"812","ENSG00000226871"
"813","ENSG00000226877"
"814","ENSG00000226889"
"815","ENSG00000226900"
"816","ENSG00000226904"
"817","ENSG00000226906"
"818","ENSG00000226913"
"819","ENSG00000226917"
"820","ENSG00000226921"
"821","ENSG00000226935"
"822","ENSG00000226938"
"823","ENSG00000226950"
"824","ENSG00000226953"
"825","ENSG00000226954"
"826","ENSG00000226956"
"827","ENSG00000226957"
"828","ENSG00000226963"
"829","ENSG00000226968"
"830","ENSG00000226983"
"831","ENSG00000226985"
"832","ENSG00000226994"
"833","ENSG00000226995"
"834","ENSG00000227006"
"835","ENSG00000227007"
"836","ENSG00000227012"
"837","ENSG00000227016"
"838","ENSG00000227029"
"839","ENSG00000227039"
"840","ENSG00000227047"
"841","ENSG00000227061"
"842","ENSG00000227068"
"843","ENSG00000227078"
"844","ENSG00000227082"
"845","ENSG00000227083"
"846","ENSG00000227089"
"847","ENSG00000227091"
"848","ENSG00000227094"
"849","ENSG00000227107"
"850","ENSG00000227115"
"851","ENSG00000227117"
"852","ENSG00000227121"
"853","ENSG00000227128"
"854","ENSG00000227139"
"855","ENSG00000227143"
"856","ENSG00000227145"
"857","ENSG00000227148"
"858","ENSG00000227155"
"859","ENSG00000227195"
"860","ENSG00000227198"
"861","ENSG00000227199"
"862","ENSG00000227214"
"863","ENSG00000227215"
"864","ENSG00000227217"
"865","ENSG00000227218"
"866","ENSG00000227230"
"867","ENSG00000227240"
"868","ENSG00000227248"
"869","ENSG00000227258"
"870","ENSG00000227269"
"871","ENSG00000227282"
"872","ENSG00000227292"
"873","ENSG00000227301"
"874","ENSG00000227305"
"875","ENSG00000227306"
"876","ENSG00000227307"
"877","ENSG00000227308"
"878","ENSG00000227313"
"879","ENSG00000227338"
"880","ENSG00000227354"
"881","ENSG00000227360"
"882","ENSG00000227373"
"883","ENSG00000227375"
"884","ENSG00000227388"
"885","ENSG00000227392"
"886","ENSG00000227409"
"887","ENSG00000227418"
"888","ENSG00000227431"
"889","ENSG00000227455"
"890","ENSG00000227456"
"891","ENSG00000227463"
"892","ENSG00000227466"
"893","ENSG00000227467"
"894","ENSG00000227479"
"895","ENSG00000227482"
"896","ENSG00000227485"
"897","ENSG00000227486"
"898","ENSG00000227487"
"899","ENSG00000227489"
"900","ENSG00000227492"
"901","ENSG00000227496"
"902","ENSG00000227498"
"903","ENSG00000227502"
"904","ENSG00000227508"
"905","ENSG00000227509"
"906","ENSG00000227510"
"907","ENSG00000227512"
"908","ENSG00000227517"
"909","ENSG00000227518"
"910","ENSG00000227533"
"911","ENSG00000227540"
"912","ENSG00000227542"
"913","ENSG00000227543"
"914","ENSG00000227544"
"915","ENSG00000227554"
"916","ENSG00000227579"
"917","ENSG00000227589"
"918","ENSG00000227599"
"919","ENSG00000227602"
"920","ENSG00000227617"
"921","ENSG00000227627"
"922","ENSG00000227630"
"923","ENSG00000227640"
"924","ENSG00000227646"
"925","ENSG00000227659"
"926","ENSG00000227674"
"927","ENSG00000227676"
"928","ENSG00000227678"
"929","ENSG00000227680"
"930","ENSG00000227683"
"931","ENSG00000227706"
"932","ENSG00000227713"
"933","ENSG00000227723"
"934","ENSG00000227740"
"935","ENSG00000227741"
"936","ENSG00000227744"
"937","ENSG00000227751"
"938","ENSG00000227764"
"939","ENSG00000227769"
"940","ENSG00000227773"
"941","ENSG00000227782"
"942","ENSG00000227811"
"943","ENSG00000227838"
"944","ENSG00000227880"
