"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"GUSBP11",2.32999834300335e-05,0.0859837489074042,0.0985121489519246,0.0632575113749302,0.00303847292294114,0.0897262170144024,0.0585122424181647,0.0168531337085989,0.0588867034345739,0.845200562217843,0.866505343686814,0.614348604596629,0.0924213182671855,0.728514012347528
"MALAT1",0.57811151952283,0.508995723829754,0.622391867875774,0.063660967303808,0.435411701702606,0.024029745491814,0.785499546746561,0.820039616888669,0.175097800330293,0.749055975442607,0.159708177136907,0.349252288912271,0.918515047054595,0.70842058952676
"NNT-AS1",0.263321717365233,0.47205538975821,0.723942430499966,0.942069494089913,0.0395001279868434,1.91630403150185e-07,0.0689717013545205,0.0525267149744302,0.149058079919998,0.608560669260259,0.486708671567198,0.515915948780815,0.976334899705952,0.019245246801032
"C1orf132",0.017795815194982,0.694093713375105,0.957738419202679,0.146466977731337,0.468118169393321,0.933612001929587,0.607208367649998,0.0605010319673025,0.0225569162086434,0.100825230247574,0.155721554995863,0.550494190526338,0.970737716515738,0.470764646899098
"SNHG3",0.810108113729804,0.961259176518261,0.771004108855624,0.894452623121911,0.00243458418406385,2.67195049734531e-09,0.00594002779167335,4.16791889795856e-06,0.0365776126552512,0.43331598423476,0.167573645319036,0.315805324667312,0.893722333208549,0.91658894236873
"AC004951.6",0.0668854693887058,0.949531369306948,0.261752191853123,0.527755639660435,0.000681791537398142,0.761076315930365,0.103118087313216,0.117597103363957,0.427226119974519,0.849223034649738,0.282970600994902,0.437661794454494,0.660750295155063,0.0304995932784813
"LINC00963",0.347975618852148,0.678653857520079,0.0195069044725347,0.487267022091147,0.294563734483826,0.00490847591567266,0.894236908243902,0.724146807593549,0.972405046903668,0.232321899948742,0.623512591166372,0.0755174715134213,0.434335225058414,0.675269568334411
"RP11-282K24.3",0.883225811266045,0.655660720815073,0.192847999153254,0.900779956057883,0.0256014679137138,0.315552647446725,0.0122754505843924,0.669160452891192,0.384244497074308,0.839686546651517,0.130941165113196,0.329576409929079,0.44838951194611,0.214156962021691
"CTC-444N24.11",0.0701231813087526,0.821022150107563,0.291922932432892,0.147542345839854,0.256261125934223,0.00488454877616041,0.525195874770716,0.547109606515842,0.251945006167668,0.736073275710607,0.0612999402450202,0.969626725289318,0.0694627029963204,0.313135727583677
"UCA1",0.0858865108534384,0.812240618514972,0.728774672370637,0.0778588675015313,0.271554450382083,0.796155360926939,0.0388381936338102,0.252748387828275,0.00081862772730447,0.228616348966904,0.658923782740967,0.882900900574611,0.886253344495369,0.710301512815196
"PVT1",0.0269355924639689,0.93208262212112,0.210021081341564,0.152584712792078,0.00303814065772885,0.000190053838765926,0.027145552375793,0.0440831140435773,0.557598756413045,0.38527271344482,0.0454662154768619,0.0237796693258049,0.00101343498779093,0.0299802822598481
"AC007246.3",0.552961148978055,0.790081766373802,0.492582483793785,0.00815090316106894,0.565904879458393,0.00758491472120288,0.187654680857256,0.60735581701187,0.160365783320114,0.481223381883554,0.68067552908474,0.155064456694609,0.588274547839706,0.0405992534197335
"AC156455.1",0.239514194615646,0.00673211834590408,0.0062154699235057,0.182072452226533,0.0446116664030505,3.37634429769851e-08,0.000216411272077651,0.188902308955904,0.871813987183226,0.710092233333518,0.669177592054119,0.733437465683221,0.0352795953599553,0.456373436067648
"DLX6-AS1",0.883234925431113,0.511162391066757,0.899130306157869,0.956778581474501,0.722782453775801,0.86057188107321,0.00171554822979193,0.00490733121667627,0.531502949092363,0.0433275239784394,0.574497240940424,0.518242871548666,0.0535998560898407,0.983967501874463
"RP11-440L14.1",0.516799508839139,0.801096741232405,0.0303844967469235,0.276738073419284,0.168986359854735,0.739068348083323,0.140870378163216,0.0369682217017507,0.55607524671754,0.668667614155504,0.365799648416457,0.469152599217968,0.492610759921476,0.363917689625752
"RP11-66B24.4",0.080668055958917,0.170806428662093,0.00890459781564041,0.265043036162334,0.531237721782372,0.0129729579526591,0.780898041435237,0.717449607082816,0.469795321954059,0.637842251484845,0.4263157427791,0.281654207010709,0.900968499548199,0.614719133553554
